SampleID	Time_point	Tissue_type	State	Field	Sampling_date	ID	NewSampleID	OldID	Site	Main_plot	Sub_plot_A	Sub_plot_B	CA_Row	Location	Block	Bed	row	Year
Neg-Pool1-D01	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-D01											
Neg-Pool1-D02	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-D02											
Neg-Pool1-D03	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-D03											
Neg-Pool1-D04	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-D04											
Neg-Pool1-D05	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-D05											
Neg-Pool1-D06	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-D06											
Neg-Pool1-D07	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-D07											
Neg-Pool1-D08	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-D08											
Neg-Pool1-P01	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-P01											
Neg-Pool1-P02	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-P02											
Neg-Pool1-P03	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-P03											
Neg-Pool1-P04	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-P04											
Neg-Pool1-P05	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-P05											
Neg-Pool1-P06	Neg_Control	Neg_Control	Neg_Control				Neg-Pool1-P06											
Neg-Pool2-D09	Neg_Control	Neg_Control	Neg_Control				Neg-Pool2-D09											
Neg-Pool2-D10	Neg_Control	Neg_Control	Neg_Control				Neg-Pool2-D10											
Neg-Pool2-D11	Neg_Control	Neg_Control	Neg_Control				Neg-Pool2-D11											
Neg-Pool2-D12	Neg_Control	Neg_Control	Neg_Control				Neg-Pool2-D12											
Neg-Pool2-P07	Neg_Control	Neg_Control	Neg_Control				Neg-Pool2-P07											
Neg-Pool2-P08	Neg_Control	Neg_Control	Neg_Control				Neg-Pool2-P08											
Neg-Pool2-P14	Neg_Control	Neg_Control	Neg_Control				Neg-Pool2-P14											
Neg-Pool2-P14-REDO	Neg_Control	Neg_Control	Neg_Control				Neg-Pool2-P14-REDO											
Neg-Pool3-P11	Neg_Control	Neg_Control	Neg_Control				Neg-Pool3-P11											
Neg-Pool3-P13	Neg_Control	Neg_Control	Neg_Control				Neg-Pool3-P13											
Neg-Pool3-P13c	Neg_Control	Neg_Control	Neg_Control				Neg-Pool3-P13c											
Neg-Pool3-P15	Neg_Control	Neg_Control	Neg_Control				Neg-Pool3-P15											
Neg-Pool3-P15-REDO	Neg_Control	Neg_Control	Neg_Control				Neg-Pool3-P15-REDO											
Neg-Pool4-D13	Neg_Control	Neg_Control	Neg_Control				Neg-Pool4-D13											
Neg-Pool4-D14	Neg_Control	Neg_Control	Neg_Control				Neg-Pool4-D14											
Neg-Pool4-D15	Neg_Control	Neg_Control	Neg_Control				Neg-Pool4-D15											
Neg-Pool4-P09	Neg_Control	Neg_Control	Neg_Control				Neg-Pool4-P09											
Neg-Pool4-P10	Neg_Control	Neg_Control	Neg_Control				Neg-Pool4-P10											
Neg-Pool4-P12	Neg_Control	Neg_Control	Neg_Control				Neg-Pool4-P12											
Neg-Pool4-P12-REDO	Neg_Control	Neg_Control	Neg_Control				Neg-Pool4-P12-REDO											
Neg-Pool4-P16	Neg_Control	Neg_Control	Neg_Control				Neg-Pool4-P16											
Neg-Pool4-P17	Neg_Control	Neg_Control	Neg_Control				Neg-Pool4-P17											
Neg-Pool5-5-1	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-1											
Neg-Pool5-5-10	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-10											
Neg-Pool5-5-11	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-11											
Neg-Pool5-5-12	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-12											
Neg-Pool5-5-13	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-13											
Neg-Pool5-5-14	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-14											
Neg-Pool5-5-15	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-15											
Neg-Pool5-5-16	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-16											
Neg-Pool5-5-17	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-17											
Neg-Pool5-5-18	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-18											
Neg-Pool5-5-19	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-19											
Neg-Pool5-5-2	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-2											
Neg-Pool5-5-20	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-20											
Neg-Pool5-5-21	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-21											
Neg-Pool5-5-22	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-22											
Neg-Pool5-5-23	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-23											
Neg-Pool5-5-24	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-24											
Neg-Pool5-5-25	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-25											
Neg-Pool5-5-26	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-26											
Neg-Pool5-5-27	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-27											
Neg-Pool5-5-28	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-28											
Neg-Pool5-5-29	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-29											
Neg-Pool5-5-3	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-3											
Neg-Pool5-5-30	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-30											
Neg-Pool5-5-31	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-31											
Neg-Pool5-5-32	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-32											
Neg-Pool5-5-33	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-33											
Neg-Pool5-5-34	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-34											
Neg-Pool5-5-35	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-35											
Neg-Pool5-5-36	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-36											
Neg-Pool5-5-37	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-37											
Neg-Pool5-5-38	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-38											
Neg-Pool5-5-39	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-39											
Neg-Pool5-5-4	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-4											
Neg-Pool5-5-40	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-40											
Neg-Pool5-5-5	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-5											
Neg-Pool5-5-6	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-6											
Neg-Pool5-5-7	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-7											
Neg-Pool5-5-8	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-8											
Neg-Pool5-5-9	Neg_Control	Neg_Control	Neg_Control				Neg-Pool5-5-9											
Neg-Pool6-5-41	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-5-41											
Neg-Pool6-6-01	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-01											
Neg-Pool6-6-02	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-02											
Neg-Pool6-6-03	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-03											
Neg-Pool6-6-04	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-04											
Neg-Pool6-6-05	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-05											
Neg-Pool6-6-06	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-06											
Neg-Pool6-6-07	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-07											
Neg-Pool6-6-08	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-08											
Neg-Pool6-6-09	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-09											
Neg-Pool6-6-10	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-10											
Neg-Pool6-6-11	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-11											
Neg-Pool6-6-12	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-12											
Neg-Pool6-6-13	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-13											
Neg-Pool6-6-14	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-14											
Neg-Pool6-6-15	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-15											
Neg-Pool6-6-16	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-16											
Neg-Pool6-6-17	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-17											
Neg-Pool6-6-18	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-18											
Neg-Pool6-6-19	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-19											
Neg-Pool6-6-20	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-20											
Neg-Pool6-6-21	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-21											
Neg-Pool6-6-22	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-22											
Neg-Pool6-6-23	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-23											
