SampleID	Time_point	Tissue_type	State	Field	Sampling_date	ID	NewSampleID	OldID	Site	Main_plot	Sub_plot_A	Sub_plot_B	CA_Row	Location	Block	Bed	row	Year
CCCR1R1	T0	Rhizosphere	California	CA_Field_1		CCC1	Z-T0-CCC1		CA1	control	control	control	1					2021
CCCR2R1	T0	Rhizosphere	California	CA_Field_1		CCC2	Z-T0-CCC2		CA1	control	control	control	2					2021
CCCR3R1	T0	Rhizosphere	California	CA_Field_1		CCC3	Z-T0-CCC3		CA1	control	control	control	3					2021
CCCR4R1	T0	Rhizosphere	California	CA_Field_1		CCC4	Z-T0-CCC4		CA1	control	control	control	4					2021
CCHR1R2	T0	Rhizosphere	California	CA_Field_1		CCH1	Z-T0-CCH1		CA1	control	control	humic	1					2021
CCHR2R1	T0	Rhizosphere	California	CA_Field_1		CCH2	Z-T0-CCH2		CA1	control	control	humic	2					2021
CCHR3R1	T0	Rhizosphere	California	CA_Field_1		CCH3	Z-T0-CCH3		CA1	control	control	humic	3					2021
CCHR4R1	T0	Rhizosphere	California	CA_Field_1		CCH4	Z-T0-CCH4		CA1	control	control	humic	4					2021
CGCR1R1	T0	Rhizosphere	California	CA_Field_1		CGC1	Z-T0-CGC1		CA1	control	Glyphosate	control	1					2021
CGCR2R1	T0	Rhizosphere	California	CA_Field_1		CGC2	Z-T0-CGC2		CA1	control	Glyphosate	control	2					2021
CGCR3R1	T0	Rhizosphere	California	CA_Field_1		CGC3	Z-T0-CGC3		CA1	control	Glyphosate	control	3					2021
CGCR4R1	T0	Rhizosphere	California	CA_Field_1		CGC4	Z-T0-CGC4		CA1	control	Glyphosate	control	4					2021
L-T0-CCC1	T0	Leaves	California	CA_Field_1	6/1/21	CCC1	L-T0-CCC1	CCC1	CA1	control	control	control	1					2021
L-T0-CCC2	T0	Leaves	California	CA_Field_1	6/1/21	CCC2	L-T0-CCC2	CCC2	CA1	control	control	control	2					2021
L-T0-CCC3	T0	Leaves	California	CA_Field_1	6/1/21	CCC3	L-T0-CCC3	CCC3	CA1	control	control	control	3					2021
L-T0-CCC4	T0	Leaves	California	CA_Field_1	6/1/21	CCC4	L-T0-CCC4	CCC4	CA1	control	control	control	4					2021
L-T0-CCH1	T0	Leaves	California	CA_Field_1	6/1/21	CCH1	L-T0-CCH1	CCH1	CA1	control	control	humic	1					2021
L-T0-CCH2	T0	Leaves	California	CA_Field_1	6/1/21	CCH2	L-T0-CCH2	CCH2	CA1	control	control	humic	2					2021
L-T0-CCH3	T0	Leaves	California	CA_Field_1	6/1/21	CCH3	L-T0-CCH3	CCH3	CA1	control	control	humic	3					2021
L-T0-CCH4	T0	Leaves	California	CA_Field_1	6/1/21	CCH4	L-T0-CCH4	CCH4	CA1	control	control	humic	4					2021
